id;visits;buy_leads
530;0;0
531;0;0
532;0;0
533;0;0
534;0;0
535;0;0
536;0;0
537;0;0
538;0;0
539;0;0
540;0;0
541;0;0
542;0;0
543;0;0
544;0;0
545;0;0
546;0;0
547;0;0
548;0;0
549;0;0
550;0;0
551;0;0
552;0;0
553;0;0
554;0;0
555;0;0
556;0;0
557;0;0
558;0;0
559;0;0
560;0;0
561;0;0
562;0;0
563;0;0
564;0;0
565;0;0
566;0;0
567;0;0
568;0;0
569;0;0
570;0;0
571;0;0
572;0;0
573;0;0
574;0;0
575;0;0
576;0;0
577;0;0
578;0;0
579;0;0
580;0;0
581;0;0
582;0;0
583;0;0
584;0;0
585;170;70
586;104;35
587;0;0
588;0;0
589;0;0
590;101;33
591;0;0
592;74;24
593;0;0
594;0;0
595;0;0
596;44;9
597;44;9
598;0;0
599;269;61
600;0;0
601;358;95
602;169;36
603;84;11
604;128;36
605;0;0
606;62;4
607;106;18
608;19;0
609;21;0
610;67;8
611;107;4
612;111;15
613;362;125
614;0;0
615;0;0
616;201;59
617;0;0
618;476;170
619;135;24
620;31;4
621;54;16
622;68;20
623;85;32
624;102;11
625;0;0
626;0;0
627;0;0
628;0;0
629;0;0
630;0;0
631;0;0
632;0;0
633;0;0
634;0;0
635;18;6
636;0;0
637;0;0
638;0;0
639;0;0
640;0;0
641;0;0
642;0;0
643;0;0
644;0;0
645;0;0
646;0;0
647;0;0
648;0;0
649;0;0
650;0;0
651;0;0
652;0;0
653;0;0
654;0;0
655;0;0
656;0;0
657;0;0
658;0;0
659;0;0
660;0;0
661;0;0
662;0;0
663;0;0
664;0;0
665;0;0
666;0;0
667;0;0
668;0;0
669;0;0
670;0;0
671;0;0
672;0;0
673;0;0
674;0;0
675;0;0
676;172;46
677;0;0
678;166;26
679;0;0
680;236;78
681;97;20
682;74;9
683;157;29
684;235;42
685;175;41
686;231;48
687;60;7
688;166;29
689;0;0
690;260;57
691;0;0
692;71;15
693;78;19
694;320;69
695;211;32
696;119;41
697;0;0
698;113;22
699;0;0
700;68;20
701;163;33
702;24;5
703;9;1
704;62;13
705;0;0
706;0;0
707;0;0
708;0;0
709;0;0
710;0;0
711;0;0
712;0;0
713;0;0
714;0;0
715;0;0
716;0;0
717;0;0
718;0;0
719;0;0
720;0;0
721;0;0
722;0;0
723;0;0
724;0;0
725;0;0
726;0;0
727;0;0
728;0;0
729;0;0
730;0;0
731;0;0
732;0;0
733;0;0
734;0;0
735;0;0
736;0;0
737;0;0
738;0;0
739;0;0
740;0;0
741;0;0
742;0;0
743;0;0
744;0;0
745;0;0
746;0;0
747;0;0
748;0;0
749;0;0
750;0;0
751;0;0
